No,year,month,day,hour,season,PM_Caotangsi,PM_Shahepu,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
1,2010,1,1,0,4,NA,NA,NA,4,81.2,1022,7,cv,1,0,0
2,2010,1,1,1,4,NA,NA,NA,4,86.99,1022,6,cv,1,0,0
3,2010,1,1,2,4,NA,NA,NA,4,86.99,1021,6,cv,1,0,0
4,2010,1,1,3,4,NA,NA,NA,3,86.89,1021,5,cv,1,0,0
5,2010,1,1,4,4,NA,NA,NA,2,86.79,1021,4,cv,1,0,0
6,2010,1,1,5,4,NA,NA,NA,2,93.13,1020,3,cv,1,0,0
7,2010,1,1,6,4,NA,NA,NA,2,93.13,1020,3,cv,1,0,0
8,2010,1,1,7,4,NA,NA,NA,2,86.79,1020,4,cv,1,0,0
9,2010,1,1,8,4,NA,NA,NA,2,93.13,1021,3,cv,1,0,0
10,2010,1,1,9,4,NA,NA,NA,3,93.19,1021,4,cv,1,0,0
11,2010,1,1,10,4,NA,NA,NA,4,86.99,1021,6,SW,1,0,0
12,2010,1,1,11,4,NA,NA,NA,5,81.34,1021,8,cv,1,0,0
13,2010,1,1,12,4,NA,NA,NA,4,70.88,1020,9,cv,2,0,0
14,2010,1,1,13,4,NA,NA,NA,2,57.51,1019,10,cv,3,0,0
15,2010,1,1,14,4,NA,NA,NA,3,57.77,1016.9,11,SE,2,0,0
16,2010,1,1,15,4,NA,NA,NA,2,53.81,1016.9,11,cv,1,0,0
17,2010,1,1,16,4,NA,NA,NA,1,50.08,1016.9,11,cv,2,0,0
18,2010,1,1,17,4,NA,NA,NA,1,50.08,1016.9,11,cv,2,0,0
19,2010,1,1,18,4,NA,NA,NA,2,61.51,1018,9,cv,2,0,0
20,2010,1,1,19,4,NA,NA,NA,3,66.05,1019,9,SE,3,0,0
21,2010,1,1,20,4,NA,NA,NA,3,66.05,1020,9,cv,1,0,0
22,2010,1,1,21,4,NA,NA,NA,2,61.51,1021,9,cv,1,0,0
23,2010,1,1,22,4,NA,NA,NA,2,61.51,1021,9,cv,2,0,0
24,2010,1,1,23,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
25,2010,1,2,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
26,2010,1,2,1,4,NA,NA,NA,3,70.67,1021,8,cv,0,0,0
27,2010,1,2,2,4,NA,NA,NA,3,75.67,1021,7,cv,0,0,0
28,2010,1,2,3,4,NA,NA,NA,4,81.2,1021,7,cv,0,0,0
29,2010,1,2,4,4,NA,NA,NA,4,81.2,1021,7,SW,1,0,0
30,2010,1,2,5,4,NA,NA,NA,4,81.2,1021,7,SW,2,0,0
31,2010,1,2,6,4,NA,NA,NA,4,81.2,1020,7,SW,3,0,0
32,2010,1,2,7,4,NA,NA,NA,4,81.2,1021,7,SE,1,0,0
33,2010,1,2,8,4,NA,NA,NA,4,81.2,1021,7,SW,1,0,0
