No,year,month,day,hour,season,PM_City Station,PM_5th Middle School,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
1,2010,1,1,0,4,NA,NA,NA,9.4,76,1015.1,13.5,NW,0.8,0,0
2,2010,1,1,1,4,NA,NA,NA,10.2,83,1015.2,13,cv,0.5,0,0
3,2010,1,1,2,4,NA,NA,NA,10.4,87,1015,12.5,NW,0.6,0.3,0.3
4,2010,1,1,3,4,NA,NA,NA,10.2,89,1014.9,12,NW,1.4,0.6,0.9
5,2010,1,1,4,4,NA,NA,NA,10.4,91,1014.6,11.8,NE,0.6,0.7,1.6
6,2010,1,1,5,4,NA,NA,NA,10.3,91,1014.4,11.7,NW,1.4,0.3,1.9
7,2010,1,1,6,4,NA,NA,NA,10,90,1014.8,11.6,NW,2.5,0,0
8,2010,1,1,7,4,NA,NA,NA,10.4,91,1015.3,11.8,NW,3.7,0,0
9,2010,1,1,8,4,NA,NA,NA,10.3,89,1015.3,12.1,NE,1.2,0,0
10,2010,1,1,9,4,NA,NA,NA,10.5,86,1015.9,12.8,NW,1.2,0,0
11,2010,1,1,10,4,NA,NA,NA,10.9,83,1016,13.7,NE,0.9,0,0
12,2010,1,1,11,4,NA,NA,NA,10.8,82,1016,13.8,SE,0.6,0,0
13,2010,1,1,12,4,NA,NA,NA,10.7,78,1015.3,14.5,NE,0.9,0,0
14,2010,1,1,13,4,NA,NA,NA,10.9,75,1013.8,15.3,NE,2,0,0
15,2010,1,1,14,4,NA,NA,NA,10.8,74,1012.3,15.4,NE,3.3,0,0
16,2010,1,1,15,4,NA,NA,NA,10.8,71,1011.6,16.1,NE,4.6,0,0
17,2010,1,1,16,4,NA,NA,NA,11,73,1011.8,15.8,NE,5.3,0,0
18,2010,1,1,17,4,NA,NA,NA,11.5,77,1012.2,15.5,NW,0.8,0,0
19,2010,1,1,18,4,NA,NA,NA,11.8,81,1012.2,15,cv,0,0,0
20,2010,1,1,19,4,NA,NA,NA,12.1,84,1012.4,14.8,NE,0.7,0,0
21,2010,1,1,20,4,NA,NA,NA,12,83,1012.9,14.9,NE,1.6,0,0
22,2010,1,1,21,4,NA,NA,NA,12,83,1013.4,14.9,NW,0.7,0,0
23,2010,1,1,22,4,NA,NA,NA,12.2,84,1013.7,14.9,NW,1.7,0,0
24,2010,1,1,23,4,NA,NA,NA,12.2,84,1013.2,14.9,cv,0,0,0
25,2010,1,2,0,4,NA,NA,NA,12.2,84,1013.3,14.9,cv,0.5,0,0
26,2010,1,2,1,4,NA,NA,NA,12.5,88,1013,14.5,NW,0.7,0,0
27,2010,1,2,2,4,NA,NA,NA,12.4,89,1012.6,14.2,NW,1.6,0.6,0.6
28,2010,1,2,3,4,NA,NA,NA,12.6,92,1011.9,13.9,cv,0,0.5,1.1
29,2010,1,2,4,4,NA,NA,NA,12.4,92,1011.9,13.7,NW,1.2,0.1,1.2
30,2010,1,2,5,4,NA,NA,NA,12.5,92,1011.4,13.8,NW,2.4,0,0
31,2010,1,2,6,4,NA,NA,NA,12.4,91,1011.3,13.8,cv,0.5,0,0
32,2010,1,2,7,4,NA,NA,NA,12.6,92,1011.5,13.9,cv,1,0.7,0.7
33,2010,1,2,8,4,NA,NA,NA,13,93,1011.9,14.1,cv,1.4,0.1,0.8
34,2010,1,2,9,4,NA,NA,NA,13,92,1012.6,14.3,cv,1.8,0.3,1.1
35,2010,1,2,10,4,NA,NA,NA,13.5,92,1013.3,14.8,NW,0.6,0,0
36,2010,1,2,11,4,NA,NA,NA,13.3,92,1013.8,14.6,NW,2.1,0,0
37,2010,1,2,12,4,NA,NA,NA,13.2,93,1012.8,14.3,NE,1.2,0.6,0.6
38,2010,1,2,13,4,NA,NA,NA,13.3,93,1011.7,14.4,NW,0.9,0.4,1
39,2010,1,2,14,4,NA,NA,NA,13.7,93,1011,14.8,SW,0.7,2.2,3.2
40,2010,1,2,15,4,NA,NA,NA,13.9,93,1010.9,15,SW,1.7,2.5,5.7
41,2010,1,2,16,4,NA,NA,NA,13.9,93,1010.5,15,NE,1,4.6,10.3
42,2010,1,2,17,4,NA,NA,NA,13.9,93,1011.6,15,NW,0.8,1.4,11.7
43,2010,1,2,18,4,NA,NA,NA,13.7,93,1011.8,14.8,NW,1.6,0.6,12.3
44,2010,1,2,19,4,NA,NA,NA,13.7,93,1012.5,14.8,NW,2.2,2.4,14.7
45,2010,1,2,20,4,NA,NA,NA,13.8,94,1012.8,14.8,SE,0.8,4.3,19
46,2010,1,2,21,4,NA,NA,NA,14,94,1013.2,15,SE,1.5,1.3,20.3
47,2010,1,2,22,4,NA,NA,NA,13.8,94,1013.5,14.8,cv,0.2,0.2,20.5
48,2010,1,2,23,4,NA,NA,NA,13.8,94,1014,14.8,NW,1.2,0.1,20.6
49,2010,1,3,0,4,NA,NA,NA,13.5,94,1014.2,14.5,NW,2.2,0,0
50,2010,1,3,1,4,NA,NA,NA,13.4,94,1013.7,14.4,NE,1.1,0,0
51,2010,1,3,2,4,NA,NA,NA,12.8,93,1013.3,13.9,NW,1.1,0,0
52,2010,1,3,3,4,NA,NA,NA,13,93,1013.3,14.1,NW,2.1,0,0
53,2010,1,3,4,4,NA,NA,NA,12.8,92,1013.1,14.1,cv,0,0,0
54,2010,1,3,5,4,NA,NA,NA,12.7,92,1013,14,NW,0.9,0,0
55,2010,1,3,6,4,NA,NA,NA,12.4,92,1013,13.7,cv,0.5,0,0
56,2010,1,3,7,4,NA,NA,NA,11.8,93,1013.6,12.9,NW,0.7,0,0
57,2010,1,3,8,4,NA,NA,NA,12.5,94,1014.3,13.4,NW,1.7,0,0
58,2010,1,3,9,4,NA,NA,NA,13.3,83,1014.7,16.2,NE,0.8,0,0
59,2010,1,3,10,4,NA,NA,NA,12.9,75,1015,17.4,NW,0.9,0,0
60,2010,1,3,11,4,NA,NA,NA,12.4,71,1014.6,17.7,NW,1.8,0,0
61,2010,1,3,12,4,NA,NA,NA,12.4,63,1013.5,19.6,SW,1.8,0,0
62,2010,1,3,13,4,NA,NA,NA,11.9,62,1012.2,19.4,NW,0.7,0,0
63,2010,1,3,14,4,NA,NA,NA,11.9,62,1011.4,19.4,SW,0.9,0,0
64,2010,1,3,15,4,NA,NA,NA,11.3,58,1010.9,19.8,SE,1.4,0,0
65,2010,1,3,16,4,NA,NA,NA,11.2,58,1010.8,19.7,SW,0.8,0,0
66,2010,1,3,17,4,NA,NA,NA,12.7,65,1011,19.4,SW,1.4,0,0
67,2010,1,3,18,4,NA,NA,NA,13.5,73,1011.3,18.4,cv,0.5,0,0
68,2010,1,3,19,4,NA,NA,NA,13.1,74,1011.6,17.8,SE,1.3,0,0
69,2010,1,3,20,4,NA,NA,NA,13.2,74,1011.9,17.9,SW,0.7,0,0
70,2010,1,3,21,4,NA,NA,NA,13.4,76,1012.1,17.7,SE,0.9,0,0
71,2010,1,3,22,4,NA,NA,NA,13.7,80,1012.2,17.2,SE,1.7,0,0
72,2010,1,3,23,4,NA,NA,NA,13.8,81,1011.9,17.1,SE,3.1,0,0
73,2010,1,4,0,4,NA,NA,NA,13.8,82,1011.8,16.9,SE,3.8,0,0
74,2010,1,4,1,4,NA,NA,NA,14,85,1011.6,16.5,NE,0.7,0,0
75,2010,1,4,2,4,NA,NA,NA,14,85,1011.1,16.5,NE,1.3,0,0
76,2010,1,4,3,4,NA,NA,NA,14.2,88,1010.7,16.2,cv,0.1,0,0
77,2010,1,4,4,4,NA,NA,NA,13.8,90,1010.1,15.4,SW,0.6,0,0
78,2010,1,4,5,4,NA,NA,NA,13.3,92,1010.3,14.6,NE,0.6,0,0
79,2010,1,4,6,4,NA,NA,NA,13,93,1010.8,14.1,cv,0,0,0
80,2010,1,4,7,4,NA,NA,NA,13.5,94,1011.1,14.5,NE,0.7,0,0
81,2010,1,4,8,4,NA,NA,NA,13.7,94,1012.4,14.7,NW,1.4,0,0
82,2010,1,4,9,4,NA,NA,NA,14.2,88,1012.5,16.2,NE,1,0,0
83,2010,1,4,10,4,NA,NA,NA,14,77,1012.7,18.1,SE,1,0,0
84,2010,1,4,11,4,NA,NA,NA,13,65,1011.9,19.8,SW,1.2,0,0
85,2010,1,4,12,4,NA,NA,NA,13.1,59,1010.9,21.4,NE,1.2,0,0
86,2010,1,4,13,4,NA,NA,NA,12.2,54,1009.5,21.9,SE,1.3,0,0
87,2010,1,4,14,4,NA,NA,NA,12.6,54,1008.4,22.3,SE,3.1,0,0
88,2010,1,4,15,4,NA,NA,NA,12.7,55,1007.9,22.2,SE,4.3,0,0
89,2010,1,4,16,4,NA,NA,NA,13,59,1007.8,21.3,SE,6.2,0,0
90,2010,1,4,17,4,NA,NA,NA,13.7,64,1008.2,20.8,SE,7.1,0,0
91,2010,1,4,18,4,NA,NA,NA,14,69,1008.4,19.9,SE,8.1,0,0
92,2010,1,4,19,4,NA,NA,NA,14.4,72,1009.1,19.6,SE,9.6,0,0
93,2010,1,4,20,4,NA,NA,NA,14.5,74,1009.5,19.2,SE,10.6,0,0
94,2010,1,4,21,4,NA,NA,NA,14.2,73,1009.6,19.1,SE,11.6,0,0
95,2010,1,4,22,4,NA,NA,NA,13.7,72,1010,18.9,SW,1,0,0
96,2010,1,4,23,4,NA,NA,NA,14.9,84,1010.1,17.6,cv,0.5,0,0
97,2010,1,5,0,4,NA,NA,NA,14.7,81,1009.9,18,SE,0.7,0,0
98,2010,1,5,1,4,NA,NA,NA,15.3,86,1010.2,17.7,SW,0.8,0,0
99,2010,1,5,2,4,NA,NA,NA,15.1,85,1009.9,17.6,cv,0.5,0,0
100,2010,1,5,3,4,NA,NA,NA,15,85,1010.1,17.5,NE,0.8,0.1,0.1
101,2010,1,5,4,4,NA,NA,NA,14.9,87,1009.6,17.1,NE,1.5,0,0
102,2010,1,5,5,4,NA,NA,NA,14.3,84,1010.2,17,NE,2.1,0,0
103,2010,1,5,6,4,NA,NA,NA,13.4,80,1010.1,16.9,NE,2.8,0,0
104,2010,1,5,7,4,NA,NA,NA,13.3,80,1010.9,16.8,NW,0.8,0,0
105,2010,1,5,8,4,NA,NA,NA,13.4,83,1011.7,16.3,NE,0.8,0.3,0.3
106,2010,1,5,9,4,NA,NA,NA,13.9,85,1012.2,16.4,SE,2,0.1,0.4
107,2010,1,5,10,4,NA,NA,NA,13.5,82,1012.7,16.6,SE,4.4,0,0
108,2010,1,5,11,4,NA,NA,NA,13.6,79,1012.6,17.3,NE,1.9,0,0
109,2010,1,5,12,4,NA,NA,NA,13.7,76,1011.5,18,SE,2.2,0,0
110,2010,1,5,13,4,NA,NA,NA,13.5,76,1010.8,17.8,SE,3.1,0,0
111,2010,1,5,14,4,NA,NA,NA,13.4,73,1009.9,18.3,NE,2.2,0,0
112,2010,1,5,15,4,NA,NA,NA,12.3,69,1009.4,18.1,SE,3,0,0
113,2010,1,5,16,4,NA,NA,NA,11.3,64,1009.2,18.2,SE,5.8,0,0
114,2010,1,5,17,4,NA,NA,NA,11.2,64,1009.5,18.1,SE,8.6,0,0
115,2010,1,5,18,4,NA,NA,NA,12,69,1009.7,17.8,SE,9.8,0,0
116,2010,1,5,19,4,NA,NA,NA,12.2,72,1010.5,17.3,NW,0.9,0,0
117,2010,1,5,20,4,NA,NA,NA,13.9,87,1011.7,16.1,NW,1.8,1.2,1.2
118,2010,1,5,21,4,NA,NA,NA,14.1,91,1012.2,15.6,cv,0.5,3,4.2
119,2010,1,5,22,4,NA,NA,NA,14.2,92,1012.2,15.5,cv,0.5,0.5,4.7
120,2010,1,5,23,4,NA,NA,NA,14.2,92,1012.2,15.5,cv,0.5,0.5,5.2
121,2010,1,6,0,4,NA,NA,NA,14.2,92,1012.4,15.5,NW,0.9,0,0
122,2010,1,6,1,4,NA,NA,NA,14.3,92,1012.5,15.6,NW,2.1,0,0
123,2010,1,6,2,4,NA,NA,NA,14.2,92,1012.8,15.5,NE,1.6,1.4,1.4
124,2010,1,6,3,4,NA,NA,NA,13.9,91,1012.8,15.4,NE,2.4,0,0
125,2010,1,6,4,4,NA,NA,NA,13.8,91,1012.5,15.3,NE,4.1,0.1,0.1
126,2010,1,6,5,4,NA,NA,NA,13.6,90,1012.6,15.2,NE,4.8,0,0
127,2010,1,6,6,4,NA,NA,NA,13,88,1012.9,15,NE,5.6,0,0
128,2010,1,6,7,4,NA,NA,NA,12.3,90,1013.9,13.9,NW,2,1.5,1.5
129,2010,1,6,8,4,NA,NA,NA,10.7,91,1015.1,12.1,NW,4.5,0.6,2.1
130,2010,1,6,9,4,NA,NA,NA,10,91,1016.1,11.4,NW,7.2,0.6,2.7
131,2010,1,6,10,4,NA,NA,NA,10,91,1016.7,11.4,NW,9.9,0,0
132,2010,1,6,11,4,NA,NA,NA,9.1,85,1016.9,11.5,NE,2.2,0,0
133,2010,1,6,12,4,NA,NA,NA,8.6,81,1016.2,11.7,NW,3.2,0,0
134,2010,1,6,13,4,NA,NA,NA,7.7,78,1015.9,11.4,NW,6,0,0
135,2010,1,6,14,4,NA,NA,NA,7.2,77,1015.7,11.1,NW,9.3,0,0
136,2010,1,6,15,4,NA,NA,NA,7.2,78,1015.6,10.9,NW,11.7,0,0
137,2010,1,6,16,4,NA,NA,NA,6.9,77,1015.6,10.8,NW,13.8,0,0
138,2010,1,6,17,4,NA,NA,NA,6.7,77,1016.1,10.6,NW,15.5,0,0
139,2010,1,6,18,4,NA,NA,NA,6.1,75,1016.5,10.3,NE,2.7,0,0
140,2010,1,6,19,4,NA,NA,NA,5.9,75,1017.4,10.1,NW,1.4,0,0
141,2010,1,6,20,4,NA,NA,NA,5.5,74,1017.7,9.9,NW,3.8,0,0
142,2010,1,6,21,4,NA,NA,NA,5.3,74,1018.1,9.7,NW,5.3,0,0
143,2010,1,6,22,4,NA,NA,NA,5.1,74,1018.3,9.5,NE,1.4,0,0
144,2010,1,6,23,4,NA,NA,NA,4.9,74,1018.3,9.3,NE,3.2,0,0
145,2010,1,7,0,4,NA,NA,NA,4.6,74,1018.4,9,NE,5.9,0,0
146,2010,1,7,1,4,NA,NA,NA,4.8,76,1018.4,8.8,NE,6.7,0,0
147,2010,1,7,2,4,NA,NA,NA,4.4,74,1018.7,8.8,NW,1,0,0
148,2010,1,7,3,4,NA,NA,NA,3.9,72,1018.6,8.7,NE,2.2,0,0
