No,year,month,day,hour,season,PM_Jingan,PM_US Post,PM_Xuhui,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
1,2010,1,1,0,4,NA,NA,NA,-6,59.48,1026.1,1,cv,1,0,0
2,2010,1,1,1,4,NA,NA,NA,-6,59.48,1025.1,1,SE,2,0,0
3,2010,1,1,2,4,NA,NA,NA,-7,59.21,1025.1,0,SE,4,0,0
4,2010,1,1,3,4,NA,NA,NA,-6,63.94,1024,0,SE,5,0,0
5,2010,1,1,4,4,NA,NA,NA,-6,63.94,1023,0,SE,8,0,0
6,2010,1,1,5,4,NA,NA,NA,-7,59.21,1023,0,SE,11,0,0
7,2010,1,1,6,4,NA,NA,NA,-6,59.48,1023,1,SE,14,0,0
8,2010,1,1,7,4,NA,NA,NA,-5,64.18,1023,1,SE,17,0,0
9,2010,1,1,8,4,NA,NA,NA,-3,69.43,1023,2,SE,20,0,0
10,2010,1,1,9,4,NA,NA,NA,-2,64.9,1023,4,SE,23,0,0
11,2010,1,1,10,4,NA,NA,NA,-1,60.76,1022,6,SE,28,0,0
12,2010,1,1,11,4,NA,NA,NA,0,61.01,1022,7,SW,6,0,0
13,2010,1,1,12,4,NA,NA,NA,-1,52.98,1020,8,SW,10,0,0
14,2010,1,1,13,4,NA,NA,NA,0,53.26,1019,9,SW,14,0,0
15,2010,1,1,14,4,NA,NA,NA,-1,46.29,1019,10,SW,18,0,0
16,2010,1,1,15,4,NA,NA,NA,-1,46.29,1018,10,SE,3,0,0
17,2010,1,1,16,4,NA,NA,NA,-2,46,1018,9,SE,7,0,0
18,2010,1,1,17,4,NA,NA,NA,-1,49.51,1018,9,SE,11,0,0
19,2010,1,1,18,4,NA,NA,NA,0,56.99,1019,8,SE,14,0,0
20,2010,1,1,19,4,NA,NA,NA,1,61.26,1018,8,SE,16,0,0
21,2010,1,1,20,4,NA,NA,NA,2,65.82,1019,8,SE,20,0,0
22,2010,1,1,21,4,NA,NA,NA,2,65.82,1018,8,SE,25,0,0
23,2010,1,1,22,4,NA,NA,NA,3,70.67,1018,8,SW,5,0,0
24,2010,1,1,23,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
25,2010,1,2,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
26,2010,1,2,1,4,NA,NA,NA,3,75.67,1018,7,SW,3,0,0
27,2010,1,2,2,4,NA,NA,NA,3,75.67,1016.9,7,SW,7,0,0
28,2010,1,2,3,4,NA,NA,NA,3,75.67,1018,7,cv,1,0,0
29,2010,1,2,4,4,NA,NA,NA,3,75.67,1016.9,7,SW,3,0,0
30,2010,1,2,5,4,NA,NA,NA,3,81.06,1016.9,6,cv,0,0,0
31,2010,1,2,6,4,NA,NA,NA,3,81.06,1018,6,NW,1,0,0
32,2010,1,2,7,4,NA,NA,NA,2,80.92,1018,5,SW,1,0,0
33,2010,1,2,8,4,NA,NA,NA,3,81.06,1019,6,cv,0,0,0
34,2010,1,2,9,4,NA,NA,NA,4,75.84,1019,8,cv,0,0,0
35,2010,1,2,10,4,NA,NA,NA,3,61.76,1019,10,NW,3,0,0
36,2010,1,2,11,4,NA,NA,NA,3,57.77,1019,11,NW,8,0,0
37,2010,1,2,12,4,NA,NA,NA,2,53.81,1018,11,NW,13,0,0
38,2010,1,2,13,4,NA,NA,NA,3,54.08,1016.9,12,NW,17,0,0
39,2010,1,2,14,4,NA,NA,NA,1,46.88,1016.9,12,NW,22,0,0
40,2010,1,2,15,4,NA,NA,NA,2,50.36,1018,12,NW,26,0,0
41,2010,1,2,16,4,NA,NA,NA,2,50.36,1018,12,NW,30,0,0
42,2010,1,2,17,4,NA,NA,NA,2,53.81,1019,11,NW,33,0,0
43,2010,1,2,18,4,NA,NA,NA,3,61.76,1020,10,NE,3,0,0
44,2010,1,2,19,4,NA,NA,NA,3,66.05,1021,9,NE,6,0,0
45,2010,1,2,20,4,NA,NA,NA,3,70.67,1022,8,NE,13,0,0
46,2010,1,2,21,4,NA,NA,NA,3,75.67,1022,7,NE,19,0,0
47,2010,1,2,22,4,NA,NA,NA,3,81.06,1023,6,NE,22,0,0
48,2010,1,2,23,4,NA,NA,NA,3,86.89,1023,5,NE,25,0,0
49,2010,1,3,0,4,NA,NA,NA,3,86.89,1023,5,NE,28,0,0
50,2010,1,3,1,4,NA,NA,NA,3,86.89,1023,5,NE,32,0,0
51,2010,1,3,2,4,NA,NA,NA,2,80.92,1023,5,NE,35,0,0
52,2010,1,3,3,4,NA,NA,NA,3,86.89,1022,5,NE,38,0,0
53,2010,1,3,4,4,NA,NA,NA,3,86.89,1022,5,NE,42,0,0
54,2010,1,3,5,4,NA,NA,NA,2,86.79,1022,4,NE,45,0,0
55,2010,1,3,6,4,NA,NA,NA,3,86.89,1022,5,NE,48,0,0
56,2010,1,3,7,4,NA,NA,NA,2,75.49,1022,6,NE,52,0,0
57,2010,1,3,8,4,NA,NA,NA,2,75.49,1023,6,NE,56,0,0
58,2010,1,3,9,4,NA,NA,NA,2,65.82,1023,8,NE,60,0,0
59,2010,1,3,10,4,NA,NA,NA,2,65.82,1022,8,NE,66,0,0
60,2010,1,3,11,4,NA,NA,NA,2,57.51,1022,10,SE,5,0,0
61,2010,1,3,12,4,NA,NA,NA,3,57.77,1020,11,SE,10,0,0
62,2010,1,3,13,4,NA,NA,NA,2,53.81,1019,11,SE,15,0,0
63,2010,1,3,14,4,NA,NA,NA,3,57.77,1019,11,SE,21,0,0
