No,year,month,day,hour,season,PM_Taiyuanjie,PM_US Post,PM_Xiaoheyan,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
1,2010,1,1,0,4,NA,NA,NA,-26,69.79,1024,-22,NE,1.0289,NA,NA
2,2010,1,1,1,4,NA,NA,NA,-26,76.26,1024,-23,NE,2.5722,NA,NA
3,2010,1,1,2,4,NA,NA,NA,-27,69.56,1023,-23,NE,5.1444,NA,NA
4,2010,1,1,3,4,NA,NA,NA,-27,69.56,1023,-23,NE,7.7166,NA,NA
5,2010,1,1,4,4,NA,NA,NA,-27,69.56,1022,-23,NE,9.7744,NA,NA
6,2010,1,1,5,4,NA,NA,NA,-26,76.26,1022,-23,NE,11.8322,NA,NA
7,2010,1,1,6,4,NA,NA,NA,-25,76.46,1021,-22,NE,14.4044,NA,NA
8,2010,1,1,7,4,NA,NA,NA,-24,70.26,1021,-20,NE,16.9766,NA,NA
9,2010,1,1,8,4,NA,NA,NA,-23,70.49,1021,-19,NE,19.0344,NA,NA
10,2010,1,1,9,4,NA,NA,NA,-22,70.71,1021,-18,NE,21.6066,NA,NA
11,2010,1,1,10,4,NA,NA,NA,-20,77.39,1022,-17,NE,24.1788,NA,NA
12,2010,1,1,11,4,NA,NA,NA,-18,77.75,1021,-15,NE,27.2655,NA,NA
13,2010,1,1,12,4,NA,NA,NA,-17,77.92,1020,-14,NE,29.8377,NA,NA
14,2010,1,1,13,4,NA,NA,NA,-16,78.1,1019,-13,NE,32.9244,NA,NA
15,2010,1,1,14,4,NA,NA,NA,-15,84.87,1019,-13,NE,35.4966,NA,NA
16,2010,1,1,15,4,NA,NA,NA,-15,78.27,1019,-12,NE,38.5833,NA,NA
17,2010,1,1,16,4,NA,NA,NA,-15,78.27,1019,-12,NE,41.1555,NA,NA
18,2010,1,1,17,4,NA,NA,NA,-15,78.27,1020,-12,NE,43.2133,NA,NA
19,2010,1,1,18,4,NA,NA,NA,-16,78.1,1020,-13,NE,45.7855,NA,NA
20,2010,1,1,19,4,NA,NA,NA,-17,77.92,1021,-14,NE,48.3577,NA,NA
21,2010,1,1,20,4,NA,NA,NA,-17,84.62,1021,-15,NE,50.4155,NA,NA
22,2010,1,1,21,4,NA,NA,NA,-19,77.57,1022,-16,NE,51.9588,NA,NA
23,2010,1,1,22,4,NA,NA,NA,-20,77.39,1022,-17,NE,53.5021,NA,NA
24,2010,1,1,23,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2010,1,2,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2010,1,2,1,4,NA,NA,NA,-23,70.49,1023,-19,NE,1.5433,NA,NA
27,2010,1,2,2,4,NA,NA,NA,-24,70.26,1023,-20,NE,2.5722,NA,NA
28,2010,1,2,3,4,NA,NA,NA,-24,76.65,1023,-21,NE,3.6011,NA,NA
29,2010,1,2,4,4,NA,NA,NA,-24,76.65,1024,-21,NE,4.63,NA,NA
30,2010,1,2,5,4,NA,NA,NA,-24,70.26,1024,-20,NE,6.1733,NA,NA
31,2010,1,2,6,4,NA,NA,NA,-27,69.56,1024,-23,NE,8.2311,NA,NA
32,2010,1,2,7,4,NA,NA,NA,-27,69.56,1025,-23,NE,8.7455,NA,NA
33,2010,1,2,8,4,NA,NA,NA,-27,76.07,1026,-24,NE,9.7744,NA,NA
34,2010,1,2,9,4,NA,NA,NA,-25,70.03,1026,-21,cv,0.5144,NA,NA
35,2010,1,2,10,4,NA,NA,NA,-25,58.89,1026,-19,SE,0.5144,NA,NA
36,2010,1,2,11,4,NA,NA,NA,-24,54.37,1026,-17,NW,1.5433,NA,NA
37,2010,1,2,12,4,NA,NA,NA,-24,50,1026,-16,NW,3.6011,NA,NA
38,2010,1,2,13,4,NA,NA,NA,-24,50,1026,-16,NE,2.5722,NA,NA
39,2010,1,2,14,4,NA,NA,NA,-24,50,1026,-16,NW,2.0578,NA,NA
40,2010,1,2,15,4,NA,NA,NA,-24,50,1026,-16,NE,2.0578,NA,NA
41,2010,1,2,16,4,NA,NA,NA,-24,54.37,1027,-17,NW,1.5433,NA,NA
42,2010,1,2,17,4,NA,NA,NA,-24,54.37,1028,-17,NE,2.0578,NA,NA
43,2010,1,2,18,4,NA,NA,NA,-25,58.89,1028,-19,NE,3.0867,NA,NA
44,2010,1,2,19,4,NA,NA,NA,-25,58.89,1029,-19,cv,0.5144,NA,NA
45,2010,1,2,20,4,NA,NA,NA,-26,69.79,1029,-22,NE,0.5144,NA,NA
46,2010,1,2,21,4,NA,NA,NA,-29,69.08,1029,-25,SE,0.5144,NA,NA
47,2010,1,2,22,4,NA,NA,NA,-28,75.87,1029,-25,SE,1.5433,NA,NA
48,2010,1,2,23,4,NA,NA,NA,-29,75.67,1029,-26,SE,2.0577,NA,NA
49,2010,1,3,0,4,NA,NA,NA,-30,75.47,1029,-27,SE,2.5721,NA,NA
50,2010,1,3,1,4,NA,NA,NA,-29,75.67,1029,-26,SE,3.601,NA,NA
51,2010,1,3,2,4,NA,NA,NA,-29,75.67,1029,-26,SE,5.1443,NA,NA
52,2010,1,3,3,4,NA,NA,NA,-30,75.47,1029,-27,SE,6.1732,NA,NA
53,2010,1,3,4,4,NA,NA,NA,-31,68.59,1029,-27,cv,0,NA,NA
54,2010,1,3,5,4,NA,NA,NA,-31,75.27,1029,-28,cv,0.5144,NA,NA
55,2010,1,3,6,4,NA,NA,NA,-31,75.27,1029,-28,NE,1.0289,NA,NA
56,2010,1,3,7,4,NA,NA,NA,-31,75.27,1029,-28,NE,1.5433,NA,NA
57,2010,1,3,8,4,NA,NA,NA,-31,68.59,1029,-27,NE,3.0866,NA,NA
58,2010,1,3,9,4,NA,NA,NA,-28,75.87,1029,-25,NE,4.6299,NA,NA
59,2010,1,3,10,4,NA,NA,NA,-27,69.56,1029,-23,NE,6.1732,NA,NA
60,2010,1,3,11,4,NA,NA,NA,-25,70.03,1028,-21,NE,8.231,NA,NA
61,2010,1,3,12,4,NA,NA,NA,-23,70.49,1026,-19,NE,10.8032,NA,NA
62,2010,1,3,13,4,NA,NA,NA,-22,64.97,1025,-17,NE,13.3754,NA,NA
63,2010,1,3,14,4,NA,NA,NA,-22,59.74,1025,-16,NE,14.9187,NA,NA
64,2010,1,3,15,4,NA,NA,NA,-23,54.68,1025,-16,NE,16.462,NA,NA
65,2010,1,3,16,4,NA,NA,NA,-23,54.68,1024,-16,NE,18.5198,NA,NA
66,2010,1,3,17,4,NA,NA,NA,-23,59.46,1025,-17,NE,20.0631,NA,NA
67,2010,1,3,18,4,NA,NA,NA,-23,59.46,1025,-17,NE,22.6353,NA,NA
68,2010,1,3,19,4,NA,NA,NA,-23,59.46,1024,-17,NE,24.6931,NA,NA
69,2010,1,3,20,4,NA,NA,NA,-22,59.74,1025,-16,NW,1.5433,NA,NA
70,2010,1,3,21,4,NA,NA,NA,-22,59.74,1025,-16,NW,3.0866,NA,NA
71,2010,1,3,22,4,NA,NA,NA,-22,64.97,1024,-17,NE,1.5433,NA,NA
72,2010,1,3,23,4,NA,NA,NA,-22,64.97,1024,-17,NE,3.0866,NA,NA
73,2010,1,4,0,4,NA,NA,NA,-22,70.71,1023,-18,NE,4.1155,NA,NA
74,2010,1,4,1,4,NA,NA,NA,-22,70.71,1023,-18,NW,1.5433,NA,NA
75,2010,1,4,2,4,NA,NA,NA,-22,70.71,1023,-18,NW,3.0866,NA,NA
76,2010,1,4,3,4,NA,NA,NA,-23,64.72,1022,-18,NW,4.6299,NA,NA
77,2010,1,4,4,4,NA,NA,NA,-23,64.72,1022,-18,NW,6.1732,NA,NA
78,2010,1,4,5,4,NA,NA,NA,-24,64.46,1023,-19,NW,8.231,NA,NA
79,2010,1,4,6,4,NA,NA,NA,-24,70.26,1023,-20,NE,1.5433,NA,NA
80,2010,1,4,7,4,NA,NA,NA,-25,64.19,1023,-20,NW,2.0578,NA,NA
81,2010,1,4,8,4,NA,NA,NA,-25,64.19,1023,-20,NE,3.0867,NA,NA
82,2010,1,4,9,4,NA,NA,NA,-24,70.26,1024,-20,NE,6.1734,NA,NA
83,2010,1,4,10,4,NA,NA,NA,-24,59.18,1024,-18,NW,3.0867,NA,NA
84,2010,1,4,11,4,NA,NA,NA,-24,54.37,1023,-17,NW,6.6878,NA,NA
85,2010,1,4,12,4,NA,NA,NA,-24,54.37,1023,-17,NE,4.1156,NA,NA
86,2010,1,4,13,4,NA,NA,NA,-24,54.37,1023,-17,NW,3.0867,NA,NA
87,2010,1,4,14,4,NA,NA,NA,-24,54.37,1024,-17,NW,6.6878,NA,NA
88,2010,1,4,15,4,NA,NA,NA,-23,59.46,1024,-17,NW,9.7745,NA,NA
89,2010,1,4,16,4,NA,NA,NA,-23,64.72,1025,-18,NW,11.8323,NA,NA
90,2010,1,4,17,4,NA,NA,NA,-23,64.72,1026,-18,NW,13.3756,NA,NA
91,2010,1,4,18,4,NA,NA,NA,-24,64.46,1026,-19,NE,1.5433,NA,NA
92,2010,1,4,19,4,NA,NA,NA,-24,64.46,1027,-19,NE,2.5722,NA,NA
93,2010,1,4,20,4,NA,NA,NA,-24,70.26,1027,-20,NE,4.1155,NA,NA
94,2010,1,4,21,4,NA,NA,NA,-24,70.26,1028,-20,NE,5.1444,NA,NA
95,2010,1,4,22,4,NA,NA,NA,-25,76.46,1028,-22,cv,0,NA,NA
96,2010,1,4,23,4,NA,NA,NA,-27,76.07,1028,-24,SW,0.5144,NA,NA
97,2010,1,5,0,4,NA,NA,NA,-26,83.4,1028,-24,SE,0.5144,NA,NA
98,2010,1,5,1,4,NA,NA,NA,-25,76.46,1028,-22,SW,1.0289,NA,NA
99,2010,1,5,2,4,NA,NA,NA,-24,83.68,1029,-22,SW,2.0578,NA,NA
100,2010,1,5,3,4,NA,NA,NA,-24,76.65,1029,-21,SW,3.0867,NA,NA
101,2010,1,5,4,4,NA,NA,NA,-26,76.26,1029,-23,cv,0.5144,NA,NA
102,2010,1,5,5,4,NA,NA,NA,-27,76.07,1029,-24,SE,0.5144,NA,NA
103,2010,1,5,6,4,NA,NA,NA,-26,83.4,1029,-24,SE,1.5433,NA,NA
104,2010,1,5,7,4,NA,NA,NA,-27,76.07,1029,-24,SW,1.0289,NA,NA
105,2010,1,5,8,4,NA,NA,NA,-26,76.26,1030,-23,SW,2.0578,NA,NA
106,2010,1,5,9,4,NA,NA,NA,-25,70.03,1030,-21,SW,2.5722,NA,NA
107,2010,1,5,10,4,NA,NA,NA,-24,64.46,1031,-19,SW,3.6011,NA,NA
108,2010,1,5,11,4,NA,NA,NA,-24,59.18,1030,-18,SW,4.1155,NA,NA
109,2010,1,5,12,4,NA,NA,NA,-24,54.37,1029,-17,SW,5.1444,NA,NA
110,2010,1,5,13,4,NA,NA,NA,-23,54.68,1029,-16,SW,6.1733,NA,NA
111,2010,1,5,14,4,NA,NA,NA,-23,54.68,1029,-16,NW,1.5433,NA,NA
112,2010,1,5,15,4,NA,NA,NA,-23,54.68,1029,-16,NW,3.0866,NA,NA
113,2010,1,5,16,4,NA,NA,NA,-23,59.46,1029,-17,NW,4.1155,NA,NA
114,2010,1,5,17,4,NA,NA,NA,-24,59.18,1029,-18,NW,5.1444,NA,NA
115,2010,1,5,18,4,NA,NA,NA,-25,64.19,1030,-20,cv,0,NA,NA
116,2010,1,5,19,4,NA,NA,NA,-25,70.03,1030,-21,SE,1.0289,NA,NA
117,2010,1,5,20,4,NA,NA,NA,-25,76.46,1030,-22,SE,2.0578,NA,NA
118,2010,1,5,21,4,NA,NA,NA,-25,70.03,1030,-21,SE,3.0867,NA,NA
119,2010,1,5,22,4,NA,NA,NA,-24,76.65,1030,-21,SE,3.6011,NA,NA
120,2010,1,5,23,4,NA,NA,NA,-24,70.26,1030,-20,SE,4.1155,NA,NA
121,2010,1,6,0,4,NA,NA,NA,-24,76.65,1030,-21,cv,0.5144,NA,NA
122,2010,1,6,1,4,NA,NA,NA,-25,76.46,1030,-22,SE,0.5144,NA,NA
123,2010,1,6,2,4,NA,NA,NA,-26,76.26,1031,-23,SE,1.5433,NA,NA
124,2010,1,6,3,4,NA,NA,NA,-27,76.07,1031,-24,SE,2.0577,NA,NA
125,2010,1,6,4,4,NA,NA,NA,-27,76.07,1030,-24,SE,2.5721,NA,NA
126,2010,1,6,5,4,NA,NA,NA,-28,75.87,1031,-25,SW,0.5144,NA,NA
127,2010,1,6,6,4,NA,NA,NA,-28,75.87,1031,-25,SE,0.5144,NA,NA
128,2010,1,6,7,4,NA,NA,NA,-28,75.87,1031,-25,SE,1.0288,NA,NA
129,2010,1,6,8,4,NA,NA,NA,-27,83.26,1031,-25,SE,2.0577,NA,NA
130,2010,1,6,9,4,NA,NA,NA,-25,76.46,1032,-22,SW,0.5144,NA,NA
131,2010,1,6,10,4,NA,NA,NA,-23,76.84,1032,-20,SW,1.5433,NA,NA
132,2010,1,6,11,4,NA,NA,NA,-22,70.71,1032,-18,SW,2.5722,NA,NA
133,2010,1,6,12,4,NA,NA,NA,-21,70.94,1031,-17,SW,3.6011,NA,NA
134,2010,1,6,13,4,NA,NA,NA,-20,71.16,1031,-16,SW,4.63,NA,NA
135,2010,1,6,14,4,NA,NA,NA,-19,71.38,1031,-15,SW,6.1733,NA,NA
136,2010,1,6,15,4,NA,NA,NA,-19,71.38,1031,-15,NW,1.5433,NA,NA
137,2010,1,6,16,4,NA,NA,NA,-19,77.57,1031,-16,NW,2.5722,NA,NA
138,2010,1,6,17,4,NA,NA,NA,-20,71.16,1031,-16,NW,3.6011,NA,NA
139,2010,1,6,18,4,NA,NA,NA,-21,77.21,1032,-18,SE,0.5144,NA,NA
140,2010,1,6,19,4,NA,NA,NA,-21,84.09,1032,-19,SE,1.0288,NA,NA
141,2010,1,6,20,4,NA,NA,NA,-20,77.39,1032,-17,SE,1.5432,NA,NA
142,2010,1,6,21,4,NA,NA,NA,-20,77.39,1032,-17,SE,2.0576,NA,NA
143,2010,1,6,22,4,NA,NA,NA,-20,77.39,1032,-17,cv,0.5144,NA,NA
144,2010,1,6,23,4,NA,NA,NA,-19,84.36,1032,-17,SW,0.5144,NA,NA
145,2010,1,7,0,4,NA,NA,NA,-20,77.39,1032,-17,SE,1.0289,NA,NA
146,2010,1,7,1,4,NA,NA,NA,-20,84.23,1032,-18,SE,2.0578,NA,NA
147,2010,1,7,2,4,NA,NA,NA,-21,84.09,1032,-19,SE,3.0867,NA,NA
148,2010,1,7,3,4,NA,NA,NA,-21,84.09,1032,-19,SE,3.6011,NA,NA
149,2010,1,7,4,4,NA,NA,NA,-20,84.23,1032,-18,cv,0.5144,NA,NA
150,2010,1,7,5,4,NA,NA,NA,-20,84.23,1032,-18,SE,0.5144,NA,NA
151,2010,1,7,6,4,NA,NA,NA,-20,84.23,1032,-18,cv,0,NA,NA
152,2010,1,7,7,4,NA,NA,NA,-19,84.36,1032,-17,SE,0.5144,NA,NA
153,2010,1,7,8,4,NA,NA,NA,-19,84.36,1033,-17,SE,1.0288,NA,NA
154,2010,1,7,9,4,NA,NA,NA,-19,84.36,1033,-17,SW,0.5144,NA,NA
155,2010,1,7,10,4,NA,NA,NA,-18,77.75,1033,-15,cv,0.5144,NA,NA
156,2010,1,7,11,4,NA,NA,NA,-18,65.98,1032,-13,cv,1.0288,NA,NA
157,2010,1,7,12,4,NA,NA,NA,-17,71.81,1032,-13,SW,0.5144,NA,NA
158,2010,1,7,13,4,NA,NA,NA,-16,66.47,1031,-11,cv,0.5144,NA,NA
159,2010,1,7,14,4,NA,NA,NA,-16,66.47,1031,-11,SW,1.0289,NA,NA
160,2010,1,7,15,4,NA,NA,NA,-16,66.47,1031,-11,NE,2.0578,NA,NA
161,2010,1,7,16,4,NA,NA,NA,-16,72.02,1031,-12,NE,3.0867,NA,NA
162,2010,1,7,17,4,NA,NA,NA,-17,71.81,1031,-13,NE,4.1156,NA,NA
163,2010,1,7,18,4,NA,NA,NA,-18,77.75,1031,-15,NE,5.6589,NA,NA
