,0,1,2,3,4,5,6,7,8,9,10,11
0,Home,Destinations,Small Groups,Tours,Beijing,Xian,Asia,Tailor My Trip,Trains,Flights,Customer Reviews,
1,,2007 (million),2006 (million),Growth (%),,,,,,,,
2,Total Tourist Arrivals,131.8733,124.9421,5.5,,,,,,,,
3,Foreign Tourists,26.1097,22.2103,17.6,,,,,,,,
4,From Hong Kong,77.9489,73.9097,5.5,,,,,,,,
5,From Macau,23.1868,24.4087,-5.0,,,,,,,,
6,From Taiwan Province,4.6279,4.4135,4.9,,,,,,,,
7,Total (stayed overnight),54.7198,49.9134,9.6,,,,,,,,
8,Foreign Tourists,21.3989,18.1061,18.2,,,,,,,,
9,From Hong Kong ?Macau,29.2979,27.9668,4.8,,,,,,,,
10,From Taiwan Province,4.0212,3.8405,4.7,,,,,,,,
11,International Tourism Receipts,41.919?billion USD,33.949 billion USD,23.5,,,,,,,,
12,Top 16 tourism source countries,,,,,,,,,,,
13,Order,Country,"Number of Tourist Arrvals (Unit in 10,000 persons )",Percentage of Increase (%),,,,,,,,
14,01,South Korea,477.68,21.7,,,,,,,,
15,02,Japan,397.75,6.2,,,,,,,,
16,03,Russia,300.39,24.9,,,,,,,,
17,04,the United States,190.12,11.2,,,,,,,,
18,05,Malaysia,106.20,16.6,,,,,,,,
19,06,Singapore,92.20,11.4,,,,,,,,
20,07,Philippines,83.30,18.3,,,,,,,,
21,08,Mongolia,68.20,8.0,,,,,,,,
22,09,Thailand,61.16,3.3,,,,,,,,
23,10,Australia,60.74,12.9,,,,,,,,
24,11,Britain,60.51,9.5,,,,,,,,
25,12,Canada,57.72,15.5,,,,,,,,
26,13,Germany,55.67,11.2,,,,,,,,
27,14,Indonesia,47.71,10.2,,,,,,,,
28,15,France,46.34,15.2,,,,,,,,
29,16,India,46.25,14.2,,,,,,,,
30,"International Tourism Revenue by Provines, Autonomous Regions and Municipalities",,,,,,,,,,,
31,Order,Provinces and Cities,Tourism Revenue (Unit in 100 Million US Dollars),Growth (%),"Reception of Tourists (Unit in 10,000 persons)",Growth (%),,,,,,
32,01,Guangdong,87.0552,15.6,2460.87,17.8,,,,,,
33,02,Shanghai,46.7297,19.7,520.10,11.9,,,,,,
34,03,Beijing,45.7926,13.7,435.48,11.6,,,,,,
35,04,Jiangsu,34.6900,24.5,512.55,15.1,,,,,,
36,05,Zhejiang,27.0790,27.0,511.18,19.8,,,,,,
37,06,Fujian,21.6936,47.5,268.75,17.0,,,,,,
38,07,Shandong,13.5185,33.3,249.64,29.3,,,,,,
39,08,Liaoning,12.2786,31.4,200.09,24.0,,,,,,
40,09,Yunnan,8.5958,30.5,221.90,22.6,,,,,,
41,10,Tianjin,7.7871,27.4,103.23,17.2,,,,,,
42,11,Heilongjiang,6.4270,30.4,141.42,32.9,,,,,,
43,12,Hunan,6.4218,27.6,120.57,24.2,,,,,,
44,13,Shaanxi,6.1211,19.8,123.13,16.0,,,,,,
45,14,Guangxi,5.7708,36.4,205.52,20.3,,,,,,
46,15,Inner Mongolia,5.4485,34.9,149.45,21.3,,,,,,
47,16,Sichuan,5.1243,29.7,170.87,21.9,,,,,,
48,17,Hubei,4.1264,28.9,131.82,24.9,,,,,,
49,18,Chongqing,3.8231,23.8,76.17,26.3,,,,,,
50,19,Anhui,3.4400,51.7,106.43,32.4,,,,,,
51,20,Henan,3.1801,16.2,88.09,16.3,,,,,,
52,21,Hebei,3.0911,27.1,81.76,12.8,,,,,,
53,22,Hainan,3.0160,31.6,75.31,22.1,,,,,,
54,23,Shanxi,2.2171,35.0,73.79,28.6,,,,,,
55,24,Jiangxi,1.9554,40.1,66.47,33.7,,,,,,
56,25,Jilin,1.7931,30.6,54.36,25.0,,,,,,
57,26,Xinjiang,1.6190,26.5,43.84,20.9,,,,,,
58,27,Tibet,1.3529,122.0,36.54,136.0,,,,,,
59,28,Guizhou,1.2918,12.2,43.00,33.8,,,,,,
60,29,Gansu,0.7021,11.6,33.12,9.2,,,,,,
61,30,Qinghai,0.1590,20.0,5.00,18.5,,,,,,
62,31,Ningxia,0.0261,7.5,0.94,8.2,,,,,,
63,Home,Destinations,Small Groups,Tours,Beijing,Xian,Asia,Tailor My Trip,Trains,Flights,Customer Reviews,
64,,"Number of Arrivals (Unit in 1,000,000 persons )",Growth over the same period of 2015(%),,,,,,,,,
65,Total Arrivals,138,3.5,,,,,,,,,
66,Foreign Visitors,28.15,8.3,,,,,,,,,
67,From Hong Kong,81.06,2.0,,,,,,,,,
68,From Macau,23.50,2.7,,,,,,,,,
69,From Taiwan,5.73,4.2,,,,,,,,,
70,,"Number of Arrivals (Unit in 1,000,000 persons )",Growth over the same period of 2015(%),,,,,,,,,
71,Total Overnight Arrivals,59.27,4.2,,,,,,,,,
72,Foreign Visitors,21.65,6.7,,,,,,,,,
73,From Hong Kong,27.72,2.3,,,,,,,,,
74,From Macau,4.81,3.1,,,,,,,,,
75,From Taiwan,5.09,5.0,,,,,,,,,
76,Home,Destinations,Small Groups,Tours,Beijing,Xian,Asia,Tailor My Trip,Trains,Flights,Customer Reviews,
77,,Predicted Number in 2017,Increasing Rate,,,,,,,,,
78,Inbound Tourism,143 million trips,3.5%,,,,,,,,,
79,Outbound Tourism,127 million trips,4.0%,,,,,,,,,
80,International Tourism Revenue,USD 126 billion,5.0%,,,,,,,,,
81,Domestic Tourism,4.88 billion trips,10%,,,,,,,,,
82,Domestic Tourism Revenue,"CNY 4,390 billion",12.5%,,,,,,,,,
